t,ID,x,y,vx,vy
3.1000,4,1.329860,0.307603,0.098749,-0.024913
3.1000,5,1.194960,0.676352,0.043027,0.016069
3.1000,6,1.644810,0.372443,0.123155,0.045366
3.1000,7,1.838400,0.738928,0.171984,0.010431
3.2000,0,2.747110,0.537400,1.167940,-0.072879
3.2000,1,1.004180,0.408346,0.033665,0.107061
3.2000,2,1.157320,1.151110,0.021090,-0.021219
3.2000,3,1.478210,0.821955,0.041120,0.031697
3.2000,4,1.337740,0.306770,-0.004263,0.006167
3.2000,5,1.203070,0.676761,0.118508,-0.004133
3.2000,6,1.653680,0.375473,0.062138,0.021646
3.2000,7,1.851250,0.739132,0.092018,-0.001677
3.3000,0,2.849140,0.531476,0.882248,-0.046481
3.3000,1,1.009670,0.418059,0.066150,0.085190
3.3000,2,1.150670,1.151320,-0.149488,0.040327
3.3000,3,1.486800,0.822279,0.134185,-0.000378
3.3000,4,1.340090,0.308831,0.042742,0.032376
3.3000,5,1.208440,0.682652,0.054961,0.082257
3.3000,6,1.660730,0.378943,0.071984,0.042721
3.3000,7,1.864940,0.736855,0.186882,-0.043747
3.4000,0,2.947210,0.521655,1.072820,-0.146613
3.4000,1,1.017960,0.423645,0.094596,0.031918
3.4000,2,1.148330,1.158370,0.059007,0.086397
3.4000,3,1.499350,0.823744,0.129065,0.015910
3.4000,4,1.346960,0.312033,0.087070,0.026458
3.4000,5,1.215740,0.689072,0.097040,0.057306
3.4000,6,1.668790,0.384839,0.083196,0.070031
3.4000,7,1.881110,0.732989,0.149316,-0.040406
3.5000,0,3.051210,0.506993,1.009270,-0.146622
3.5000,1,1.020120,0.426880,0.017329,0.051154
3.5000,2,1.158460,1.159320,0.144461,-0.003897
3.5000,3,1.515070,0.822185,0.201115,-0.027866
3.5000,4,1.345890,0.304054,-0.031075,-0.114288
3.5000,5,1.221210,0.686197,0.076058,-0.046977
3.5000,6,1.666340,0.384607,-0.045498,-0.015883
3.5000,7,1.899610,0.730323,0.238570,-0.018783
3.6000,0,3.164130,0.492024,1.241490,-0.152553
3.6000,1,1.025780,0.420488,0.164852,-0.109893
3.6000,2,1.166380,1.158270,0.023332,-0.022436
3.6000,3,1.548680,0.820313,0.462347,-0.010034
3.6000,4,1.352690,0.298982,0.217686,0.024411
3.6000,5,1.237240,0.686894,0.286804,0.066787
3.6000,6,1.667250,0.388886,0.133800,0.148972
3.6000,7,1.935020,0.726733,0.462221,-0.052042
3.7000,0,3.289700,0.476468,1.269000,-0.158368
3.7000,1,1.034070,0.406223,0.032517,-0.159916
3.7000,2,1.178120,1.158380,0.055830,-0.008872
3.7000,3,1.548090,0.819568,-0.053509,0.014281
3.7000,4,1.365870,0.298601,0.077950,-0.025857
3.7000,5,1.255010,0.690836,0.074490,-0.013571
3.7000,6,1.674440,0.397659,0.037711,0.051766
3.7000,7,1.987180,0.725966,0.577105,0.033862
3.8000,0,3.413760,0.471706,1.241060,0.005629
3.8000,1,1.032080,0.390372,-0.033544,-0.146902
3.8000,2,1.179010,1.159280,0.026337,0.000875
3.8000,3,1.546250,0.819824,0.009454,-0.000096
3.8000,4,1.367820,0.297614,0.005936,0.012304
3.8000,5,1.255720,0.691049,0.019567,-0.003443
3.8000,6,1.675450,0.399194,0.008934,0.003525
3.8000,7,2.040980,0.725591,0.501394,-0.038941
3.9000,0,3.537320,0.473435,1.230670,0.027990
3.9000,1,1.031450,0.385825,0.013479,0.039032
3.9000,2,1.181930,1.158700,0.006090,-0.001134
3.9000,3,1.549360,0.818346,0.046851,-0.027053
3.9000,4,1.369190,0.302624,0.018586,0.079201
3.9000,5,1.260510,0.692868,0.086866,0.079550
3.9000,6,1.678580,0.400404,0.047295,0.018057
3.9000,7,2.106280,0.725152,0.794851,0.027936
4.0000,0,3.660420,0.474362,1.236940,-0.019974
4.0000,1,1.021500,0.389875,-0.215073,0.050908
4.0000,2,1.186640,1.159380,0.060966,0.028025
4.0000,3,1.553210,0.817334,0.038259,-0.002121
4.0000,4,1.369650,0.303744,0.006192,0.010167
4.0000,5,1.268030,0.694425,0.082406,0.017375
4.0000,6,1.682180,0.401763,0.034050,0.012771
4.0000,7,2.176080,0.723083,0.608863,-0.063191
4.1000,0,3.791770,0.471605,1.385180,-0.034676
4.1000,1,1.016550,0.397282,0.015081,-0.020096
4.1000,2,1.193050,1.159470,0.061782,-0.013406
4.1000,3,1.558120,0.816752,0.058651,-0.012586
4.1000,4,1.368560,0.298475,-0.031225,-0.104659
4.1000,5,1.274820,0.694338,0.060828,-0.013589
4.1000,6,1.686530,0.403379,0.051888,0.018829
4.1000,7,2.252100,0.718718,0.901823,-0.025365
4.2000,0,3.935080,0.469376,1.477880,-0.010707
4.2000,1,1.015390,0.396212,-0.037660,0.005300
4.2000,2,1.200380,1.157160,0.044535,0.002071
4.2000,3,1.566260,0.815987,0.102835,-0.006470
4.2000,4,1.368460,0.291508,0.014131,-0.023812
4.2000,5,1.282730,0.692028,0.050111,0.011801
4.2000,6,1.693420,0.405864,0.084567,0.026083
4.2000,7,2.324720,0.715201,0.561483,-0.045301
4.3000,0,4.083700,0.468996,1.493920,0.002653
4.3000,1,1.032910,0.397330,0.369557,0.011090
4.3000,2,1.206380,1.153490,0.079386,-0.069667
4.3000,3,1.577120,0.813739,0.119135,-0.043050
4.3000,4,1.372130,0.291312,0.072241,0.023659
4.3000,5,1.292560,0.694736,0.182738,0.061419
4.3000,6,1.705040,0.410992,0.155257,0.076415
4.3000,7,2.380280,0.710450,0.550760,-0.050859
4.4000,0,4.222780,0.470702,1.294330,0.030536
4.4000,1,1.049360,0.405699,0.025686,0.130994
4.4000,2,1.216140,1.143900,0.091245,-0.102170
4.4000,3,1.590040,0.812403,0.053645,0.028477
4.4000,4,1.375920,0.301104,0.026825,0.136353
4.4000,5,1.307880,0.708603,0.150342,0.181911
4.4000,6,1.716070,0.415224,0.095819,0.032092
4.4000,7,2.434870,0.703637,0.541440,-0.084290
4.5000,0,4.340640,0.472943,1.070290,0.014800
4.5000,1,1.054890,0.425960,0.082106,0.271161
4.5000,2,1.221130,1.136660,0.039319,-0.064254
4.5000,3,1.596420,0.814625,0.071180,0.016207
4.5000,4,1.380260,0.315689,0.055381,0.154222
4.5000,5,1.310950,0.719246,0.034107,0.120924
4.5000,6,1.727360,0.419308,0.125625,0.048246
4.5000,7,2.504800,0.695651,0.847043,-0.075720
4.6000,0,4.433300,0.471377,0.792079,-0.044150
4.6000,1,1.050480,0.444178,-0.149272,0.063631
4.6000,2,1.224160,1.134960,0.035936,0.011721
4.6000,3,1.603080,0.816981,0.067684,0.025192
4.6000,4,1.383540,0.327804,0.027643,0.076459
4.6000,5,1.314510,0.729495,0.041841,0.061838
4.6000,6,1.737540,0.422343,0.099404,0.028269
4.6000,7,2.587180,0.689453,0.802137,-0.049134
4.7000,0,4.517190,0.466277,0.882799,-0.057407
4.7000,1,1.058630,0.448096,0.280248,0.020229
4.7000,2,1.227570,1.133630,0.037750,-0.039365
4.7000,3,1.608940,0.818913,0.050720,0.014742
4.7000,4,1.386420,0.338042,0.028243,0.109527
4.7000,5,1.317810,0.737427,0.027219,0.084198
4.7000,6,1.745860,0.424654,0.069801,0.018861
4.7000,7,2.657470,0.686461,0.610115,-0.011941
4.8000,0,4.609100,0.454757,0.952998,-0.169266
4.8000,1,1.066170,0.453576,0.043486,0.068520
4.8000,2,1.228600,1.133670,-0.008561,0.032059
4.8000,3,1.614260,0.820780,0.053905,0.022815
4.8000,4,1.391560,0.350048,0.053584,0.116815
4.8000,5,1.317500,0.745608,-0.021959,0.073572
4.8000,6,1.754820,0.428186,0.090433,0.035629
4.8000,7,2.709500,0.689179,0.436255,0.063781
4.9000,0,4.705280,0.442274,0.969960,-0.083255
4.9000,1,1.066890,0.453959,-0.022088,-0.043243
4.9000,2,1.231530,1.136520,0.001378,0.066420
4.9000,3,1.621300,0.822130,0.084867,0.006814
4.9000,4,1.395530,0.359543,0.037741,0.082095
4.9000,5,1.324230,0.751962,0.077409,0.100032
4.9000,6,1.764200,0.430630,0.103506,0.020486
4.9000,7,2.767010,0.696360,0.704966,0.079315
5.0000,0,4.797690,0.439731,0.881204,0.028675
5.0000,1,1.068990,0.447742,0.016655,-0.032061
5.0000,2,1.231540,1.140250,-0.023298,-0.009230
5.0000,3,1.629200,0.822198,0.076349,-0.001249
5.0000,4,1.399190,0.367126,0.037581,0.079628
5.0000,5,1.328080,0.756742,0.011367,0.041004
5.0000,6,1.773560,0.432236,0.088420,0.012873
5.0000,7,2.846120,0.701203,0.871767,0.019529
5.1000,0,4.902930,0.441293,1.212520,0.003406
5.1000,1,1.073280,0.453143,0.062756,0.116269
5.1000,2,1.231510,1.140190,0.020553,0.006154
5.1000,3,1.638990,0.821829,0.119634,-0.007965
5.1000,4,1.404680,0.380212,0.072068,0.169902
5.1000,5,1.325890,0.759993,-0.053773,0.017307
5.1000,6,1.784540,0.433496,0.131613,0.011567
5.1000,7,2.935360,0.703825,0.901116,0.011286
5.2000,0,4.996760,0.444439,-0.048223,0.076920
5.2000,1,1.084570,0.463288,-0.007868,-0.033535
5.2000,2,1.233570,1.137270,-0.028142,-0.052093
5.2000,3,1.649550,0.820537,0.043198,-0.004592
5.2000,4,1.417910,0.395530,0.048493,0.082858
5.2000,5,1.323350,0.757373,-0.033668,-0.040540
5.2000,6,1.802360,0.437131,0.087049,-0.001203
5.2000,7,3.021540,0.701938,0.844054,-0.012628
5.3000,0,4.989690,0.453157,-0.091643,0.096775
5.3000,1,1.085580,0.459060,0.021702,-0.055482
5.3000,2,1.231290,1.134670,-0.014847,0.001309
5.3000,3,1.654080,0.819844,0.049839,-0.009544
5.3000,4,1.422100,0.399645,0.040264,0.014474
5.3000,5,1.318620,0.755611,-0.067757,0.006844
5.3000,6,1.811060,0.436831,0.090260,-0.005072
5.3000,7,3.104490,0.701751,0.815945,0.008164
5.4000,0,4.993510,0.461439,0.159628,0.069761
5.4000,1,1.089730,0.455688,0.056617,-0.014486
5.4000,2,1.234450,1.134500,0.068220,0.004712
5.4000,3,1.658550,0.818930,0.041787,-0.009363
5.4000,4,1.426600,0.401221,0.048745,0.023282
5.4000,5,1.313630,0.754398,-0.034262,-0.020626
5.4000,6,1.819360,0.436588,0.077945,-0.001442
5.4000,7,3.192250,0.699723,0.935333,-0.046883
5.5000,0,4.999500,0.461273,0.057050,-0.023201
5.5000,1,1.090280,0.454091,-0.041434,-0.016048
5.5000,2,1.238760,1.132560,0.019817,-0.042044
5.5000,3,1.662110,0.818192,0.030530,-0.005807
5.5000,4,1.432230,0.401670,0.064859,-0.012628
5.5000,5,1.312470,0.750923,0.009788,-0.048724
5.5000,6,1.827030,0.437085,0.076962,0.011093
5.5000,7,3.271540,0.695335,0.659679,-0.041061
5.6000,0,5.006970,0.451232,0.093364,-0.133787
5.6000,1,1.108170,0.449373,0.285777,-0.149484
5.6000,2,1.238080,1.127910,-0.009242,-0.081579
5.6000,3,1.667180,0.816359,0.046485,-0.014985
5.6000,4,1.448610,0.400053,0.306854,-0.077458
5.6000,5,1.315930,0.747045,0.072092,-0.082391
5.6000,6,1.845580,0.438793,0.342227,0.015287
5.6000,7,3.339320,0.695250,0.694695,0.036760
5.7000,0,5.014210,0.439398,0.028616,-0.104243
5.7000,1,1.138560,0.430946,0.331703,-0.206689
5.7000,2,1.253720,1.118660,0.232137,-0.103596
5.7000,3,1.677140,0.810633,0.179657,-0.119238
5.7000,4,1.483820,0.394091,0.388503,-0.043231
5.7000,5,1.330650,0.731237,0.231388,-0.215678
5.7000,6,1.882900,0.438408,0.399674,-0.005154
5.7000,7,3.420600,0.696852,0.916007,-0.017342
5.8000,0,5.016640,0.430802,0.020086,-0.069024
5.8000,1,1.191980,0.409866,0.587118,-0.332649
5.8000,2,1.279200,1.107930,0.266356,-0.109522
5.8000,3,1.697470,0.796011,0.184714,-0.142068
5.8000,4,1.544050,0.390541,0.803214,-0.027644
5.8000,5,1.357430,0.711533,0.289651,-0.195311
5.8000,6,1.943090,0.439001,0.791796,0.016639
5.8000,7,3.502440,0.694244,0.727066,-0.034263
5.9000,0,5.018650,0.424058,0.020054,-0.065983
5.9000,1,1.267920,0.372757,0.945569,-0.380018
5.9000,2,1.293940,1.092510,0.128292,-0.150084
5.9000,3,1.718100,0.780794,0.240108,-0.162582
5.9000,4,1.615010,0.382555,-0.111999,0.045250
5.9000,5,1.386350,0.689295,0.279835,-0.248569
5.9000,6,2.030930,0.441447,0.937750,0.023224
5.9000,7,3.579320,0.691817,0.807815,-0.014917
6.0000,0,5.020390,0.418450,0.014768,-0.046881
6.0000,1,1.289700,0.350424,0.290720,-0.109880
6.0000,2,1.303980,1.078210,0.074988,-0.136078
6.0000,3,1.739010,0.766956,0.213360,-0.138566
6.0000,4,1.618480,0.392526,0.159482,0.164548
6.0000,5,1.391550,0.684266,0.054548,0.085533
6.0000,6,2.127240,0.445460,0.986753,0.055953
6.0000,7,3.661380,0.691641,0.832579,0.010556
6.1000,0,5.021610,0.414621,0.009769,-0.030292
6.1000,1,1.317660,0.337496,0.279207,-0.138690
6.1000,2,1.302530,1.076670,-0.060231,0.061407
6.1000,3,1.755630,0.757305,0.124585,-0.058262
6.1000,4,1.631880,0.406919,0.157139,0.163401
6.1000,5,1.394420,0.690209,0.045602,0.070946
6.1000,6,2.231940,0.446935,1.103280,-0.023795
6.1000,7,3.759210,0.694926,1.114620,0.053712
6.2000,0,5.007060,0.418153,-0.300619,0.100292
6.2000,1,1.346510,0.321186,0.297211,-0.185935
6.2000,2,1.299590,1.081790,-0.029842,0.054813
6.2000,3,1.773070,0.749818,0.119243,-0.036950
6.2000,4,1.647620,0.420833,0.057661,0.043822
